label,text,text_proc
mostly-true,I am very proud that over my almost 30 years of public service I have had no scandals.,proud almost num_token years public service scandals
true,Pat Toomey advocated for eliminating all corporate taxes.,pat toomey advocated eliminating corporate taxes
half-true,"Health care reform ""requires the use of federal dollars to fund abortions through the government-run health plan.""",health care reform requires use federal dollars fund abortions government run health plan
mostly-true,"A lot of what (Cubas) survival depends on is Venezuelan oil money, which is drying up.",lot cubas survival depends venezuelan oil money drying
barely-true,The RI Board of Elections has heard official testimony from Providence residents who claim to have witnessed known illegal aliens voting in local elections.,ri board elections heard official testimony providence residents claim witnessed known illegal aliens voting local elections
mostly-true,Says Obama called Kagan a moderate. He called Sotomayor a moderate.,says obama called kagan moderate called sotomayor moderate
false,"Today and every day, an estimated 14,000 Americans will lose their health insurance coverage.",today every day estimated num_token americans lose health insurance coverage
half-true,Darryl Hicks had seven ethics violations and didnt pay most of the fines.,darryl hicks seven ethics violations didnt pay fines
barely-true,"Since President Obama came into office, another 2 million Hispanics have joined the ranks of those in poverty. The number of Hispanic children living in poverty increased by 15 percent in that short period of time.",since president obama came office another num_token million hispanics joined ranks poverty number hispanic children living poverty increased num_token percent short period time
half-true,The top 1 percent in recent years has earned 85 percent of all new income.,top num_token percent recent years earned num_token percent new income
half-true,Forty percent of the Fortune 500 were started either by immigrants or children of immigrants.,forty percent fortune num_token started either immigrants children immigrants
half-true,The group that organized Texas Muslim Capitol Day in Austin was recently listed as one of 82 organizations designated as a terrorist group by the United Arab Emirates.,group organized texas muslim capitol day austin recently listed one num_token organizations designated terrorist group united arab emirates
barely-true,Go look at a Trump product. Theyre all made in China.,go look trump product theyre made china
true,Nearly 6 out of 10 believe that money and wealth should be more evenly distributed among a larger percentage of the people in the U.S.,nearly num_token num_token believe money wealth evenly distributed among larger percentage people u
mostly-true,Public education has been permanently cutby $1.6 billion through changes in the Standards of Quality funding formula.,public education permanently cutby num_token billion changes standards quality funding formula
false,This president went before the United Nations and castigated Israel for building settlements. He said nothing about thousands of rockets being rained in on Israel from the Gaza Strip.,president went united nations castigated israel building settlements said nothing thousands rockets rained israel gaza strip
true,"In its current state, this bill is the most restrictive voter ID legislation in the nation.",current state bill restrictive voter id legislation nation
mostly-true,President Obama has the most border patrols and border security deployed at the border of any previous president.,president obama border patrols border security deployed border previous president
false,"Says as GOP was picking a convention city, I recommended Ohio.",says gop picking convention city recommended ohio
true,Washington has incentivized the militarization of local police precincts.,washington incentivized militarization local police precincts
pants-fire,Says she was never a member of the Georgia Log Cabin Republicans.,says never member georgia log cabin republicans
mostly-true,"By spring 2014, parents of 60,000 students in New York state had refused to let them take the Common Core Tests.",spring num_token parents num_token students new york state refused let take common core tests
half-true,Congressman Perriello voted in lock step with Nancy Pelosi 90 percent of the time.,congressman perriello voted lock step nancy pelosi num_token percent time
half-true,"In (Sen. Marco) Rubios state of Florida alone, Social Security lifts more than -- count it -- a million people out of poverty.",sen marco rubios state florida alone social security lifts count million people poverty
barely-true,Donald Trump would engage in a risky scheme to privatize Social Security.,donald trump would engage risky scheme privatize social security
mostly-true,Massachusetts schools are ranked No. 1 of all 50 states.,massachusetts schools ranked num_token num_token states
barely-true,"But for immigrants, we would have a contracting population...",immigrants would contracting population
false,The majority of the people that are coming to Arizona and trespassing are now becoming drug mules.,majority people coming arizona trespassing becoming drug mules
barely-true,"Rhode Island gives undocumented pregnant women health insurance, plus a cash card with $400 a month on it and $250 a month or $275 a month to spend on food.",rhode island gives undocumented pregnant women health insurance plus cash card num_token month num_token month num_token month spend food
barely-true,Says Mark Pryor continues to insist that Obamacare is an amazing success.,says mark pryor continues insist obamacare amazing success
pants-fire,Were only inches away from no longer being a free economy.,inches away longer free economy
mostly-true,The United States is the leading nation in the world with the highest amount of doubt about the conventional wisdom of climate change.,united states leading nation world highest amount doubt conventional wisdom climate change
half-true,The U.S. Justice Department has taken on more than 100 voting rights cases since 2009.,u justice department taken num_token voting rights cases since num_token
mostly-true,On average it takes 300 Americans working for a solid year to make as much money as one top CEO.,average takes num_token americans working solid year make much money one top ceo
true,Says Barack Obama has played over 90 rounds of golf as president.,says barack obama played num_token rounds golf president
half-true,"Team Trump has accused Ted Cruz of fraud in Iowa, Texas, Colorado, Oklahoma, Louisiana, Kansas, Maine, Utah and Wisconsin.",team trump accused ted cruz fraud iowa texas colorado oklahoma louisiana kansas maine utah wisconsin
false,"This years redistricting has been the most open, interactive and transparent redistricting process in Tennessee history.",years redistricting open interactive transparent redistricting process tennessee history
mostly-true,"Under economic sanctions, now Iran is suffering 30 percent inflation, 20 percent unemployment.",economic sanctions iran suffering num_token percent inflation num_token percent unemployment
mostly-true,"Says that as Wisconsin governor, we ended welfare.",says wisconsin governor ended welfare
true,"In the 18th Congressional District, 100% of electric generation comes from coal.",th congressional district num_token electric generation comes coal
barely-true,The folks in Washington are already forcing you to buy government health care.,folks washington already forcing buy government health care
false,Says President Barack Obama is the first president weve ever had who thinks he can choose which laws to enforce and which laws to ignore.,says president barack obama first president weve ever thinks choose laws enforce laws ignore
mostly-true,Up to 45 percent of illegal immigrants are not people that physically crossed the southern border or northern border. They are visa overstayers.,num_token percent illegal immigrants people physically crossed southern border northern border visa overstayers
false,"Charlie Crist ""worked with Acorn"" to give felons voting rights.",charlie crist worked acorn give felons voting rights
false,On support for gay marriage.,support gay marriage
half-true,"This year, we have added an average of 200,000 jobs per month, a majority in the private sector, a stark contrast to the Bush Administration record of losing an average of nearly 750,000 jobs per month in its last three months.",year added average num_token jobs per month majority private sector stark contrast bush administration record losing average nearly num_token jobs per month last three months
true,Republicans in Congress refuse to list a single tax loophole they are willing to close.,republicans congress refuse list single tax loophole willing close
barely-true,Says Hillary Clintons Iran nuclear deal lined the pockets of the worlds number one state sponsor of terrorism with your money.,says hillary clintons iran nuclear deal lined pockets worlds number one state sponsor terrorism money
pants-fire,"Obama thinks the national anthem should be ""I'd Like to Teach the World to Sing.""",obama thinks national anthem like teach world sing
true,"Right now, America has $1.1 trillion of student debt. Thats more than credit card debt.",right america num_token trillion student debt thats credit card debt
mostly-true,Twenty-six men named William have been elected to statewide office and only seven women have had the honor.,twenty six men named william elected statewide office seven women honor
barely-true,When Obama took office the economy of the United States was actually shrinking for the first time in about 70 years.,obama took office economy united states actually shrinking first time num_token years
false,Says Marco Rubio said that felons should not have their voting rights restored but that convicted felons should be allowed to own guns after they have done their time.,says marco rubio said felons voting rights restored convicted felons allowed guns done time
mostly-true,"Twice as much (federal) money is going back to Hawaii, Virginia and Alaska than is coming home to Oregon.",twice much federal money going back hawaii virginia alaska coming home oregon
half-true,I didnt inherit money from my parents.,didnt inherit money parents
true,"If you tried to pay out $1 trillion by handing it out at $1 per second, it would take more than 31,000 years.",tried pay num_token trillion handing num_token per second would take num_token years
false,You cant put a gun rack in a [Chevrolet] Volt.,cant put gun rack chevrolet volt
true,The tax penalty that the government imposes if you dont buy health insurance is lower than it would have cost to buy insurance.,tax penalty government imposes dont buy health insurance lower would cost buy insurance
half-true,Israel has seen a 90 percent reduction in terrorist attacks that it attributes to building a 500-mile fence.,israel seen num_token percent reduction terrorist attacks attributes building num_token mile fence
pants-fire,Newt Gingrich says electric co-ops and credit unions are government-sponsored enterprises like Freddie Mac.,newt gingrich says electric co ops credit unions government sponsored enterprises like freddie mac
barely-true,"Attempts to find things like, crime, criminal activity, indictment, have been filtered out by Google in favor of Hillary Clinton.",attempts find things like crime criminal activity indictment filtered google favor hillary clinton
pants-fire,The National Science Foundation spent $1.2 million paying seniors to play World of Warcraft to study the impact it had on their brain.,national science foundation spent num_token million paying seniors play world warcraft study impact brain
true,Our government right now. . . (is) spending 40 percent more than what we take in.,government right spending num_token percent take
false,The biggest contribution behind a decrease in U.S. unemployment was 1.2 million people leaving the workforce,biggest contribution behind decrease u unemployment num_token million people leaving workforce
mostly-true,"If we choose Obamacare expansion, 600,000 will lose eligibility for their subsidies, of which 257,000 would be forced into Medicaid.",choose obamacare expansion num_token lose eligibility subsidies num_token would forced medicaid
barely-true,"Says the U.S. Postal Service has taken no taxpayer aid since 1971, funds operations entirely from the sale of stamps and related products and makes an operational profit year after year.",says u postal service taken taxpayer aid since num_token funds operations entirely sale stamps related products makes operational profit year year
mostly-true,California has seen a 56 percent decline in the gun murder rate since the 1990s.,california seen num_token percent decline gun murder rate since
false,Drug overdoses are now the second-most common cause of death in New Hampshire.,drug overdoses second common cause death new hampshire
false,"Congressman Cicilline, when he was the mayor of Providence, espoused a sanctuary city.",congressman cicilline mayor providence espoused sanctuary city
half-true,Says his opponent Dorman Grace brags on his Facebook page about receiving illegal campaign contributions.,says opponent dorman grace brags facebook page receiving illegal campaign contributions
false,Says 70 percent of Virginias Medicaid cost is for seniors in nursing homes.,says num_token percent virginias medicaid cost seniors nursing homes
true,[L]ess than one-tenth of Atlantas transportation needs are covered in a referendum to levy a 1-cent sales tax.,l ess one tenth atlantas transportation needs covered referendum levy num_token cent sales tax
mostly-true,More than two-thirds of the aliens the Obama administration has brought to the United States under the presidents Central American Minors program werent actually minors at all.,two thirds aliens obama administration brought united states presidents central american minors program werent actually minors
mostly-true,"Says Chris Abele, opponent in Milwaukee County executive race, failed to finish 3 separate colleges, dropping out all 3 times.",says chris abele opponent milwaukee county executive race failed finish num_token separate colleges dropping num_token times
pants-fire,Obama Signs Bill Forgiving All Student Loan Debt.,obama signs bill forgiving student loan debt
half-true,AGallup report recently said that nearly 50 percent of small business owners arent hiring because of what they call regulatory uncertainty.,agallup report recently said nearly num_token percent small business owners arent hiring call regulatory uncertainty
false,"Obama says Iran is a 'tiny' country, 'doesn't pose a serious threat.'",obama says iran tiny country pose serious threat
false,"Says that Mitt Romney, while he was in Arizona, said he believes the states SB 1070 immigration law should be the model for national immigration laws.",says mitt romney arizona said believes states sb num_token immigration law model national immigration laws
barely-true,Toomey crossed party lines to stop gun sales to suspects on the terror watch list.,toomey crossed party lines stop gun sales suspects terror watch list
half-true,Two-thirds of the people who start out in minimum wage are above the minimum wage within a year.,two thirds people start minimum wage minimum wage within year
half-true,"The state of Georgia lost 16 percent of its employees last year, and that percentage has risen over the past three years.",state georgia lost num_token percent employees last year percentage risen past three years
half-true,Says hes the only licensed firearms dealer in America running for Congress.,says hes licensed firearms dealer america running congress
false,On releasing photographs depicting the abuse of prisoners.,releasing photographs depicting abuse prisoners
false,Says attorney general candidate Jon Richards went so far to say he would only enforce the laws with which he personally agreed.,says attorney general candidate jon richards went far say would enforce laws personally agreed
false,The pass rate for a high school level test to join the military is 35 to 40 percent.,pass rate high school level test join military num_token num_token percent
true,We've got some 37-million of our fellow citizens who are living in poverty; about 12-million or 13-million are children.,got num_token million fellow citizens living poverty num_token million num_token million children
barely-true,"Cicilline continues to accept hundreds of thousands of dollars in lobbyist, corporate PAC and insider money to fund his campaign.",cicilline continues accept hundreds thousands dollars lobbyist corporate pac insider money fund campaign
mostly-true,Borrowing in my 2015-17 state budget is less than half that in my predecessors last budget and the lowest it has been in a decade.,borrowing num_token num_token state budget less half predecessors last budget lowest decade
pants-fire,Says the federal government mandates transexuals (sic) and homosexuals grabbing children in their stranger-danger zones in the name of airport security.,says federal government mandates transexuals sic homosexuals grabbing children stranger danger zones name airport security
false,"Every year since Gov. Walker and the Republicans have been in control of the Legislature weve created fewer jobs, according to the Bureau of Labor Statistics.",every year since gov walker republicans control legislature weve created fewer jobs according bureau labor statistics
barely-true,Claims Joe Biden said coal is more dangerous than terrorists.,claims joe biden said coal dangerous terrorists
pants-fire,An Obama campaign tactic for rallying voters is to offer them cell phones.,obama campaign tactic rallying voters offer cell phones
half-true,What is and isnt a Schedule I narcotic is a job for Congress.,isnt schedule narcotic job congress
barely-true,Higher beer production and higher consumption go hand-in-hand.,higher beer production higher consumption go hand hand
true,We are now seeing a decrease in violent crime.,seeing decrease violent crime
barely-true,Says theres $4 billion in private investment along the streetcar.,says theres num_token billion private investment along streetcar
pants-fire,Says Arkansas Republican Rep. Tom Cotton voted to provide Congress with taxpayer-funded health care for life.,says arkansas republican rep tom cotton voted provide congress taxpayer funded health care life
true,Israels per capita income is greater than probably three-fourths of the rest of the world.,israels per capita income greater probably three fourths rest world
barely-true,"Well over 90 percent of felony cases, all over the nation, are committed by defendants who grew up in father-absent households.",well num_token percent felony cases nation committed defendants grew father absent households
barely-true,"For his first interview as president, Barack Obama chose Arab TV for an apology.",first interview president barack obama chose arab tv apology
true,"Georgia is on track for 1,200 traffic fatalities this year, a reversal of nine years of declines.",georgia track num_token traffic fatalities year reversal nine years declines
false,More businesses are closing than opening in Virginia today.,businesses closing opening virginia today
half-true,We have record numbers of people living in poverty.,record numbers people living poverty
true,"Obama served on a board with former Weather Underground member William Ayers and ""that relationship with Mr. Ayers on this board continued after 9/11.""",obama served board former weather underground member william ayers relationship mr ayers board continued num_token num_token
true,Says Obama broke his promise to offer a comprehensive immigration bill in his first year.,says obama broke promise offer comprehensive immigration bill first year
pants-fire,The media wont publish a real photo of Trayvon Martin with tattoos on his face.,media wont publish real photo trayvon martin tattoos face
barely-true,Rand Paul supports Obamas negotiations with Iran.,rand paul supports obamas negotiations iran
mostly-true,"For Social Security, which is projected to remain solvent through 2033, Whitehouse has cosponsored [a bill that] . . . would extend the life of the program by an additional 75 years.",social security projected remain solvent num_token whitehouse cosponsored bill would extend life program additional num_token years
barely-true,"A single parent with a couple kids can easily get $35,000 a year in public assistance in Wisconsin.",single parent couple kids easily get num_token year public assistance wisconsin
mostly-true,Police in the United States are allowed to use tear gas even though it has been classified as a chemical weapon and banned in international conflict since 1993.,police united states allowed use tear gas even though classified chemical weapon banned international conflict since num_token
barely-true,Says Hillary Clinton viciously attacked women abused by Bill Clinton.,says hillary clinton viciously attacked women abused bill clinton
barely-true,"A letter from BP to the Minerals Management Service ""actually recommends improvements and specific recommendations around safety regulations should they choose to change them.""",letter bp minerals management service actually recommends improvements specific recommendations around safety regulations choose change
true,"We passed without, frankly, the help of the Republican caucus, we passed 25 tax cuts last year, mostly aimed at the middle class and small businesses.",passed without frankly help republican caucus passed num_token tax cuts last year mostly aimed middle class small businesses
false,Under the Iran deal: If Israel attacks Iran were supposed to be on Irans side.,iran deal israel attacks iran supposed irans side
pants-fire,Nobody suffered any lasting injuries from the CIA interrogation program.,nobody suffered lasting injuries cia interrogation program
pants-fire,Im not one for name calling.,im one name calling
barely-true,Says Sen. Pat Toomey even tried to shut down the federal government in order to eliminate funding for Planned Parenthood.,says sen pat toomey even tried shut federal government order eliminate funding planned parenthood
mostly-true,Wisconsin has one of the most progressive tax codes in the country.,wisconsin one progressive tax codes country
half-true,"During the year Kagan barred military recruiters from Harvard Law School's Office of Career Services, ""military recruiting actually went up.""",year kagan barred military recruiters harvard law school's office career services military recruiting actually went
half-true,ISIS reaches about 100 million people a day through social media.,isis reaches num_token million people day social media
true,Texas added more jobs in 2010 than any other state.,texas added jobs num_token state
false,"In the primary election, a right-wing group spent more than $100,000,000 to support Supreme Court Justice Rebecca Bradley.",primary election right wing group spent num_token num_token support supreme court justice rebecca bradley
false,"(Brendan) Doherty wants to raise the eligibility age for Social Security benefits for anyone born after 1960, with no regard for the challenges it would cause for people working in physically demanding occupations.",brendan doherty wants raise eligibility age social security benefits anyone born num_token regard challenges would cause people working physically demanding occupations
half-true,Says Sam Houston opposed slavery and as governor said Texas should not leave the union over slavery.,says sam houston opposed slavery governor said texas leave union slavery
false,Our national debt is as low as it has been since World War II.,national debt low since world war ii
true,Every time [the people from Newport Tent] work in a city or town they have a whole different set of permits that they have to get in order to pitch a tent.,every time people newport tent work city town whole different set permits get order pitch tent
false,Debbie Jackow unlike her opponent ...WILL NOT de-fund the 20/20 land program.,debbie jackow unlike opponent de fund num_token num_token land program
half-true,The average age a child is trafficked into the commercial sex trade industry is between 11 and 14 years old.,average age child trafficked commercial sex trade industry num_token num_token years old
half-true,Says 99 percent of the time police officers arent charged when they kill young people of color.,says num_token percent time police officers arent charged kill young people color
true,Six justices on the U.S. Supreme Court have been confirmed in presidential election years since 1912.,six justices u supreme court confirmed presidential election years since num_token
false,Property taxes are now 18% higher than when(Mark Sharpe)first took office.,property taxes num_token higher mark sharpe first took office
true,The minimum number of infrastructure (needs) in Atlanta is $900 million.,minimum number infrastructure needs atlanta num_token million
half-true,"The firefighter and police officer pension system is not headed for bankruptcy, far from it. Thats because New Jersey first responders -- fire fighters and police officers -- have never missed making payments to the retirement system.",firefighter police officer pension system headed bankruptcy far thats new jersey first responders fire fighters police officers never missed making payments retirement system
pants-fire,The truth was revealed there in that report that showed there was no unlawful or unethical activity on my part.,truth revealed report showed unlawful unethical activity part
mostly-true,Says Donald Trump said he intends to open up additional areas off the coast to oil drilling during the campaign.,says donald trump said intends open additional areas coast oil drilling campaign
mostly-true,"Here are the stats: Per population, we kill each other with guns at a rate 297x more than Japan, 49x more than France, 33x more than Israel.",stats per population kill guns rate x japan x france x israel
barely-true,Students today take more years to get through college.,students today take years get college
barely-true,Says Rick Perry flip-flopped on gay marriage by first saying it was a states rights issue and then saying he was in favor of a federal constitutional amendment banning gay marriage.,says rick perry flip flopped gay marriage first saying states rights issue saying favor federal constitutional amendment banning gay marriage
barely-true,Congress decision to spend less around the world on embassy security contributed to tragedies like Benghazi.,congress decision spend less around world embassy security contributed tragedies like benghazi
mostly-true,"The United States is about 100th in voter turnout among the industrialized nations, and Texas is near the bottom in terms of voter registration and voter turnout.",united states th voter turnout among industrialized nations texas near bottom terms voter registration voter turnout
half-true,"Under Barack Obama's plan, the government would spend $1-trillion more.",barack obama's plan government would spend num_token trillion
mostly-true,"In 2011, NJ economy ranked 47th--at the bottom with Alabama, Mississippi Wyoming. Under Christie, NJ is falling behind.",num_token nj economy ranked th bottom alabama mississippi wyoming christie nj falling behind
true,"Theres never been a (U.S. Supreme Court) vacancy in the last, I think, 30 years, lasting longer than 237 days.",theres never u supreme court vacancy last think num_token years lasting longer num_token days
pants-fire,Nearly 60% of all occupants of HUD properties in U.S. are illegals.,nearly num_token occupants hud properties u illegals
mostly-true,"Oregon families pay an extra $1,400 a year on higher insurance premiums to cover those who do not have insurance.",oregon families pay extra num_token year higher insurance premiums cover insurance
half-true,"As soon as Chris Christie was governor, he gave tax cuts to millionaires.",soon chris christie governor gave tax cuts millionaires
true,Ninety percent of Americans want our background check system strengthened and expanded to cover more gun sales.,ninety percent americans want background check system strengthened expanded cover gun sales
mostly-true,"Over 80 percent of our trade deficit today is with countries that are not trade agreement partners, that are not level playing fields for the United States.",num_token percent trade deficit today countries trade agreement partners level playing fields united states
pants-fire,Says Ken Cuccinelli wants to eliminate all forms of birth control.,says ken cuccinelli wants eliminate forms birth control
false,A bill that would halt the EPA from regulating greenhouse gases would help stop rising gas prices.,bill would halt epa regulating greenhouse gases would help stop rising gas prices
false,"The measles vaccine has killed 108 people in the last decade, while no one has died of measles.",measles vaccine killed num_token people last decade one died measles
mostly-true,"For our next two years in my state, we will end with a structural surplus of $499 million.",next two years state end structural surplus num_token million
false,In Virginia there has been a billion dollars in surplus over the last three years. The legislature has spent less than 1 percent of that on roads.,virginia billion dollars surplus last three years legislature spent less num_token percent roads
mostly-true,Virginia women earnonly 79 cents to each dollar earned by men...,virginia women earnonly num_token cents dollar earned men
half-true,Says oil productions down where Obamas in charge.,says oil productions obamas charge
mostly-true,Every other major country has family paid leave.,every major country family paid leave
pants-fire,Says a picture he posted on Facebook of a man posing in front of five decapitated human heads is one of the subhuman mongrels our president set free.,says picture posted facebook man posing front five decapitated human heads one subhuman mongrels president set free
half-true,"Says that during President Barack Obamas tenure, the United States has created 15 million new jobs.",says president barack obamas tenure united states created num_token million new jobs
false,The (national) debt really added up $75 trillion in 2010 and is on track to hit $99 trillion this year.,national debt really added num_token trillion num_token track hit num_token trillion year
barely-true,President Barack Obama ordered our military to enlist illegal aliens.,president barack obama ordered military enlist illegal aliens
pants-fire,"A government panel that didn't include cancer specialists says women shouldn't receive mammograms until age 50...If government takes over health care, recommendations like these could become the law for all kinds of diseases.",government panel include cancer specialists says women receive mammograms age num_token government takes health care recommendations like could become law kinds diseases
mostly-true,"This governor has cut funding repeatedly for people who have AIDS, who need drugs to save their life.",governor cut funding repeatedly people aids need drugs save life
mostly-true,"We have dozens of districts that go for 150 to 200 miles, splitting counties, splintering cities and connecting areas that have very little in common.",dozens districts go num_token num_token miles splitting counties splintering cities connecting areas little common
half-true,Congress gave an unelected board the power to deny care to seniors.,congress gave unelected board power deny care seniors
half-true,I never said I was on the Falkland Islands.,never said falkland islands
barely-true,My state of Florida is now the third-largest state. We have surpassed New York in population.,state florida third largest state surpassed new york population
half-true,The latest Quinnipiac poll found that nearly six-in-ten Americans oppose ObamaCare -- 30% support the law and 57% oppose it.,latest quinnipiac poll found nearly six ten americans oppose obamacare num_token support law num_token oppose
pants-fire,Says Wisconsin Senate recall candidate Jessica King voted to increase her pay with taxpayer dollars by 63 percent.,says wisconsin senate recall candidate jessica king voted increase pay taxpayer dollars num_token percent
pants-fire,Says Barack Obama began his presidency with an apology tour.,says barack obama began presidency apology tour
barely-true,A Texas law will repatriate $1 billion of gold bullion from the Federal Reserve in New York to Texas.,texas law repatriate num_token billion gold bullion federal reserve new york texas
true,The majority of the Hispanic population and the growth (of the population) is U.S.-born.,majority hispanic population growth population u born
half-true,Says Barack Obamas administration has admitted that money from its Iran nuclear deal would go directly to terrorism.,says barack obamas administration admitted money iran nuclear deal would go directly terrorism
false,No Bridge to Nowhere could occur.,bridge nowhere could occur
true,"When (Joe Kyrillos) had an opportunity to vote for women in terms of their health care, not once, not twice, but six times, he voted against womens health care in our state.",joe kyrillos opportunity vote women terms health care twice six times voted womens health care state
half-true,"When it comes to classified information at the State Department, Hillary Clintons the decider.",comes classified information state department hillary clintons decider
barely-true,"Right now, Im polling at about 8 percent against Barack Obama and Mitt Romney.",right im polling num_token percent barack obama mitt romney
false,Food stamps have gone up two-and-a-half times under Barack Obama.,food stamps gone two half times barack obama
false,"In the 38 Studios deal, Wall Street investors took a risk, and went bust.",num_token studios deal wall street investors took risk went bust
false,Says President Barack Obama broke his promise to keep a Wisconsin GM plant from closing.,says president barack obama broke promise keep wisconsin gm plant closing
false,"The weight of the evidence (on global warming) is that most of it, maybe all of it, is because of natural causes ... its fair to say the science is in dispute.",weight evidence global warming maybe natural causes fair say science dispute
true,Mercedes said high taxes and the cost of doing business in New Jersey worked to Georgias advantage in landing the companys USA corporate headquarters.,mercedes said high taxes cost business new jersey worked georgias advantage landing companys usa corporate headquarters
false,State Department officials actually directed contracts for the Haitian recovery after the earthquake to friends of the Clintons.,state department officials actually directed contracts haitian recovery earthquake friends clintons
half-true,"The federal government is making the decision, whether we like it or not, to send 425 refugees to our state from Syria.",federal government making decision whether like send num_token refugees state syria
false,Beer drinking is not allowed in any Illinois state parks.,beer drinking allowed illinois state parks
false,Says U.S. Senate rival Tommy Thompson ran Medicare into the ground and nine years closer to bankruptcy.,says u senate rival tommy thompson ran medicare ground nine years closer bankruptcy
false,"On new dollar coins, In God We Trust is gone!",new dollar coins god trust gone
pants-fire,Freshman Rep. Bob Gibbs is spending his one year anniversary on vacation only working 6 days in all of January.,freshman rep bob gibbs spending one year anniversary vacation working num_token days january
barely-true,Early voting remains at 96 hours.,early voting remains num_token hours
half-true,Says Obama flip-flopped on banning handguns.,says obama flip flopped banning handguns
mostly-true,I remain one of the poorer members of the United States Senate.,remain one poorer members united states senate
false,[T]he Georgia Dome has returned $10 billion in economic impact to the state of Georgia.,georgia dome returned num_token billion economic impact state georgia
true,What happens is people like Warren Buffett and he says this himself...pay 15 percent on the millions of dollars that they earn from wealth income... while their secretary is paying a higher rate on her work income. It's not right.,happens people like warren buffett says pay num_token percent millions dollars earn wealth income secretary paying higher rate work income right
true,"Other Western countries have ended their ""Don't Ask, Don't Tell"" policies.",western countries ended ask tell policies
true,The U.S. is borrowing approximately $2.52 for every $1 of economic growth so far in 2012.,u borrowing approximately num_token every num_token economic growth far num_token
false,"The Northwest Corridor highway project in Cobb and Cherokee counties is expected to create over 9,700 jobs statewide.",northwest corridor highway project cobb cherokee counties expected create num_token jobs statewide
barely-true,The presidents own advisers have said theres a war on coal.,presidents advisers said theres war coal
barely-true,"Because of the new health care law, 17 million kids can no longer be denied for a pre-existing condition.",new health care law num_token million kids longer denied pre existing condition
false,Says Hillary Clinton is proposing destroying Medicare for seniors.,says hillary clinton proposing destroying medicare seniors
false,On supporting winner of Democratic primary with her superdelegate vote.,supporting winner democratic primary superdelegate vote
mostly-true,The IRS has been specifically forbidden ... from ever actually pursuing either civil or criminal remedies for people who dont purchase health insurance.,irs specifically forbidden ever actually pursuing either civil criminal remedies people dont purchase health insurance
false,A bill to advance the Keystone XL Pipeline is an earmark under House rules.,bill advance keystone xl pipeline earmark house rules
mostly-true,Says Rick Scott thinks employers should be able to deny women coverage for birth control.,says rick scott thinks employers able deny women coverage birth control
false,Florida is the first state requiring drug testing to receive welfare!,florida first state requiring drug testing receive welfare
false,Says Hillary Clinton wants to raise taxes on African-American owned businesses to as much as nearly 50 percent more than theyre paying now.,says hillary clinton wants raise taxes african american owned businesses much nearly num_token percent theyre paying
false,"A lot of people who go into prison straight, and when they come out theyre gay.",lot people go prison straight come theyre gay
true,"SaysGOP U.S. Senate candidate Darryl Glenn wants to eliminate the Department of Education and jeopardize college fundingfor 320,000 Coloradans.",saysgop u senate candidate darryl glenn wants eliminate department education jeopardize college fundingfor num_token coloradans
false,The president of the United States will be taking a trip over to India that is expected to cost the taxpayers $200 million a day.,president united states taking trip india expected cost taxpayers num_token million day
barely-true,Michael Bennet cast the deciding vote for the stimulus and the health care bill.,michael bennet cast deciding vote stimulus health care bill
true,White people control almost 90 percent of the nations wealth.,white people control almost num_token percent nations wealth
false,200 consumer laws were destroyed in 2011 when Gov. Scott Walker signed Act 92.,num_token consumer laws destroyed num_token gov scott walker signed act num_token
pants-fire,Congress Approves Bill Offering Free Cars To Welfare Recipients.,congress approves bill offering free cars welfare recipients
barely-true,Wisconsin is not walking away from a dime in federal funds by rejecting the Obamacare Medicaid expansion.,wisconsin walking away dime federal funds rejecting obamacare medicaid expansion
false,"Says that in 2007, Oregon ranked 25th -- or 7th from the bottom -- in percentage of children with untreated decay compared to 32 other states with similar data.",says num_token oregon ranked th th bottom percentage children untreated decay compared num_token states similar data
mostly-true,"Says that, as a Supreme Court justice, Greg Abbott found that a company whose vacuum cleaners were sold door to door had no responsibility in the hiring of a salesman who raped a customer.",says supreme court justice greg abbott found company whose vacuum cleaners sold door door responsibility hiring salesman raped customer
mostly-true,"The original compromise for the Confederate battle flag in South Carolina was to put it on the back side of the statehouse, out of public view so it would not have any appearance of sovereignty.",original compromise confederate battle flag south carolina put back side statehouse public view would appearance sovereignty
mostly-true,The nine-day deer hunt contributes more than $1.3 billion in revenue to the state of Wisconsin.,nine day deer hunt contributes num_token billion revenue state wisconsin
mostly-true,Weve now gained private sector jobs 12 months in a row.,weve gained private sector jobs num_token months row
mostly-true,George Bush sent people to war without body armor.,george bush sent people war without body armor
mostly-true,"Says Jeff Brandes voted to allow state-run Citizens Property Insurance to dump policies onto out-of-state, unregulated private companies.",says jeff brandes voted allow state run citizens property insurance dump policies onto state unregulated private companies
barely-true,Ch Guevara wrote extensively about the superiority of white Europeans over people of African descent.,ch guevara wrote extensively superiority white europeans people african descent
mostly-true,"From 1947 to 1979, family incomes for rich, middle-income and poor Americans grew about the same rate. But since 1979, incomes for rich families have grown much faster.",num_token num_token family incomes rich middle income poor americans grew rate since num_token incomes rich families grown much faster
pants-fire,Hitler abolished unions and thats what Wisconsin Gov. Scott Walker is doing today.,hitler abolished unions thats wisconsin gov scott walker today
false,Says Ted Kennedy sent a letter to then Soviet leader Yuri Andropov apologizing for Ronald Reagan and begging the Soviets not to overreact.,says ted kennedy sent letter soviet leader yuri andropov apologizing ronald reagan begging soviets overreact
